gift_id,price
GF_2372,92.82
GF_13040,100.94
GF_5754,62.41
GF_1417,80.21
GF_23204,49.99
GF_6367,191.41
GF_12918,93.37
GF_11930,55.02
GF_12664,119.48
GF_12666,119.48
GF_23838,177.04
GF_8594,57.95
GF_10190,115.35
GF_5251,166.48
GF_5744,104.19
GF_12315,121.98
GF_7510,26.21
GF_2647,175.15
GF_13184,91.95
GF_3163,64.88
GF_8269,107.19
GF_14270,68.16
GF_4153,61.64
GF_8117,39.79
GF_5936,50.76
GF_1704,102.82
GF_1707,102.82
GF_23660,51.19
GF_479,91.91
GF_9520,1109.68
GF_1479,119.51
GF_22094,83.86
GF_4544,110.03
GF_4471,120.01
GF_10688,154.45
GF_477,72.8
GF_21972,89.72
GF_23532,80.13
GF_697,108.72
GF_10782,166.24
GF_13480,73.9
GF_978,125.51
GF_1731,99.47
GF_14348,73.67
GF_4670,74.86
GF_13774,40.67
GF_14019,58.66
GF_11891,100.21
GF_902,109.92
GF_8817,69.25
GF_6155,81.98
GF_4859,127.25
GF_23675,75.27
GF_10679,103.68
GF_2638,50.38
GF_6369,71.02
GF_21577,53.66
GF_662,90.35
GF_1623,98.99
GF_1823,71.46
GF_14714,49.97
GF_16333,162.25
GF_16335,66.39
GF_16334,66.39
GF_2183,279.91
GF_13463,64.39
GF_22523,53.97
GF_10838,48.26
GF_7491,65.24
GF_4535,32.44
GF_6528,27.46
GF_4892,121.86
GF_1635,36.53
GF_2692,56.92
GF_13146,115.24
GF_411,141.17
GF_1648,170.55
GF_1315,116.07
GF_5258,104.15
GF_12723,69.12
GF_2452,127.14
GF_2453,66.05
GF_9533,119.48
GF_21429,49.45
GF_20248,47.81
GF_17708,52.44
GF_4136,106.95
GF_5994,69.36
GF_5993,121.4
GF_19916,18.44
GF_1360,110.74
GF_17576,56.13
GF_2432,79.83
GF_10721,37.97
GF_2447,137.11
GF_11515,78.93
GF_15034,215.15
GF_2546,44.93
GF_6394,64.86
GF_9686,206.12
GF_13171,65.72
GF_11831,125.69
GF_11832,36.91
GF_16703,76.68
GF_6277,128.18
GF_9349,65.79
GF_8239,162.66
GF_12978,60.68
GF_16110,174.19
GF_3676,149.43
GF_19854,129.8
GF_286,173.65
GF_3493,85.15
GF_3908,197.64
GF_9046,129.04
GF_14359,85.17
GF_14344,64.22
GF_4770,91.84
GF_8871,129.68
GF_10006,61.72
GF_14938,65.41
GF_6670,122.46
GF_17707,128.25
GF_11976,64.3
GF_19359,133.83
GF_7879,23.01
GF_22858,125.51
GF_7420,137.64
GF_19004,84.29
GF_5545,135.52
GF_5546,99.36
GF_11514,59.21
GF_23656,22.93
GF_304,105.61
GF_23535,78.23
GF_2408,119.77
GF_14744,154.78
GF_10960,117.39
GF_16759,118.15
GF_21428,162.47
GF_6637,45.85
GF_3499,109.45
GF_16650,47.81
GF_3909,80.68
GF_5612,122.1
GF_15265,124.71
GF_10773,36.02
GF_7107,77.45
GF_13098,160.8
GF_2747,72.32
GF_15383,36.28
GF_12289,251.7
GF_2544,75.4
GF_13801,52.53
GF_8872,64.67
GF_13326,130.82
GF_585,51.44
GF_11971,42.31
GF_5125,28.2
GF_13290,173.05
GF_6157,253.43
GF_12257,99.65
GF_1207,129.73
GF_23806,100.58
GF_7512,59.88
GF_20247,94.38
GF_9104,92.56
GF_183,88.51
GF_6232,199.42
GF_12255,77.32
GF_15967,24.35
GF_530,78.81
GF_3491,121.18
GF_9451,115.67
GF_9918,161.91
GF_13800,92.9
GF_13170,158.52
GF_584,113.8
GF_2314,20.32
GF_4782,86.39
GF_482,91.91
GF_4806,79.45
GF_5933,111.33
GF_1347,104.9
GF_8346,65.31
GF_9697,48.38
GF_9692,48.38
GF_1465,227.39
GF_10019,85
GF_5750,144.77
GF_1036,61.7
GF_7484,1090.88
GF_7477,51.84
GF_8313,68.53
GF_2330,53.97
GF_12287,1395.16
GF_9326,1091.75
GF_13489,1403.47
GF_8223,91.15
GF_6632,1091.75
GF_23094,128.7
GF_12812,99.04
GF_4831,261.15
GF_2236,114.93
GF_23183,60.84
GF_10888,80.38
GF_12151,57.83
GF_7184,63.27
GF_7447,89.91
GF_4140,125.31
GF_6250,185.11
GF_4935,117.05
GF_1021,62.34
GF_2354,72.74
GF_5839,74.43
GF_14895,43.93
GF_664,50.01
GF_9747,96.91
GF_2556,93.32
GF_4221,70.4
GF_2184,35.98
GF_14,168.22
GF_6136,93.55
GF_32,143.04
GF_10159,120.58
GF_1636,36.53
GF_14483,58.47
GF_11188,76.42
GF_9720,76.26
GF_13518,113.9
GF_22042,100.15
GF_2648,45.7
GF_14385,62.28
GF_12224,106.03
GF_4152,84
GF_13838,63.9
GF_5520,52.88
GF_6987,45.08
GF_10394,67.94
GF_7414,22.53
GF_5507,69.28
GF_5633,83.99
GF_7387,147.04
GF_19012,105.7
GF_7972,90.21
GF_6851,91.31
GF_5856,96.23
GF_23569,136.96
GF_4546,40.63
GF_12231,102.31
GF_4179,107.23
GF_7478,51.84
GF_8108,47.12
GF_1744,1439.19
GF_9328,70.11
GF_10380,111.07
GF_14094,42.78
GF_12386,34.95
GF_333,62.07
GF_401,105.31
GF_12588,103.72
GF_2237,85.31
GF_1144,180.45
GF_23182,116.5
GF_1148,91.48
GF_13750,102.09
GF_13776,171.81
GF_5815,147.5
GF_14894,52.78
GF_12919,43.11
GF_4220,106.92
GF_23840,177.04
GF_10803,57.49
GF_10802,121.32
GF_11734,2162.64
GF_34,37.87
GF_7134,149.57
GF_4498,87.04
GF_5566,68.97
GF_15850,85.65
GF_7509,26.21
GF_10958,148.47
GF_8352,54.57
GF_3159,65.82
GF_4743,92.13
GF_13837,63.9
GF_5260,28.63
GF_9211,127.49
GF_11071,111.16
GF_13325,78.84
GF_8538,1090.88
GF_1276,54.81
GF_9693,48.38
GF_9695,48.38
GF_9358,34.02
GF_16392,78.15
GF_8217,55.05
GF_605,151.92
GF_7023,99.44
GF_610,71.77
GF_998,49.97
GF_1301,78.73
GF_4466,45.88
GF_1733,60.36
GF_13515,101.31
GF_4869,110.38
GF_6635,55.42
GF_5739,94.34
GF_7674,169.9
GF_6998,58.24
GF_5523,87.39
GF_4915,73.22
GF_22760,94.66
GF_23755,31.91
GF_14075,1110.12
GF_5961,55.48
GF_1686,112.77
GF_6370,71.02
GF_12917,43.11
GF_12916,93.37
GF_9848,79.61
GF_5165,118.98
GF_10840,63.05
GF_760,121.57
GF_5139,70.69
GF_23803,96.46
GF_9485,151.94
GF_13450,2096.65
GF_9721,126.33
GF_8353,54.57
GF_9908,73.71
GF_13554,171.01
GF_8259,31.28
GF_2477,43.98
GF_1709,102.82
GF_15942,189.72
GF_1937,194.03
GF_5747,92.9
GF_7846,110.5
GF_12015,1092.12
GF_702,57.9
GF_9327,70.11
GF_9786,1403.32
GF_18765,55.12
GF_9639,82.79
GF_23982,156.82
GF_14076,1110.12
GF_1949,1091.59
GF_1146,111.3
GF_4553,33.62
GF_10351,321.26
GF_1610,508.68
GF_10414,70.93
GF_7185,52.32
GF_23673,111.59
GF_2391,93.58
GF_22221,35.78
GF_5166,54.19
GF_14257,53.37
GF_10805,57.49
GF_6331,44.55
GF_6527,141.13
GF_5253,44.53
GF_5140,68.87
GF_22827,92.77
GF_11186,135.3
GF_12508,60.52
GF_10433,91.64
GF_1818,117.85
GF_4445,88.27
GF_413,47.08
GF_9102,40.42
GF_24563,55.63
GF_11844,104.99
GF_6986,173.31
GF_6623,106.13
GF_22914,87.83
GF_19013,105.7
GF_1705,102.82
GF_4092,92.27
GF_11800,60.64
GF_5182,162.68
GF_7181,1109.68
GF_1274,107.17
GF_11066,83.97
GF_17950,146.06
GF_7978,60.42
GF_4604,80.53
GF_23530,126.68
GF_10783,166.24
GF_996,86.84
GF_23743,84.57
GF_6461,110.79
GF_23096,47.09
GF_14092,208.95
GF_1905,75.53
GF_23986,77.37
GF_12586,103.72
GF_23158,34.45
GF_12513,97.65
GF_340,1091.75
GF_7529,73.07
GF_12150,57.83
GF_7183,108.65
GF_562,1091.39
GF_565,67.32
GF_6650,104.98
GF_2637,88.32
GF_22963,40.6
GF_23651,224.45
GF_14256,144.61
GF_14108,122.33
GF_7136,34.44
GF_10462,82.59
GF_1634,216.35
GF_23586,48.43
GF_11187,72.48
GF_13519,52.44
GF_9191,107.63
GF_14272,104.55
GF_415,47.08
GF_8270,107.19
GF_13857,80.21
GF_14268,121.86
GF_13835,64.8
GF_5261,28.63
GF_5262,28.63
GF_5259,104.15
GF_900,39.66
GF_12819,67.62
GF_23657,22.93
GF_23398,48.57
GF_2202,49.29
GF_4783,48.47
GF_23397,86.56
GF_13754,42.65
GF_4299,1108.37
GF_14454,2017.8
GF_24409,54.62
GF_7390,64.82
GF_21249,1110.63
GF_13803,1090.17
GF_11799,173.14
GF_22253,2016.11
GF_8,293.54
GF_2574,102.9
GF_16394,44.43
GF_8216,133.33
GF_5755,85.06
GF_5757,49.15
GF_10317,1739.63
GF_15854,1368.16
GF_6302,1729.46
GF_701,42.77
GF_8111,90.58
GF_8528,94.48
GF_14349,73.67
GF_9757,42.66
GF_5741,94.34
GF_4697,112.73
GF_4150,62.04
GF_14945,86.29
GF_8882,2528.52
GF_11205,92.18
GF_23261,81.21
GF_6849,128.02
GF_5264,106.82
GF_11115,28.92
GF_11114,28.92
GF_10413,94.77
GF_9329,100.57
GF_13903,54.48
GF_8112,88.64
GF_18204,123.68
GF_1846,175.83
GF_9750,65.29
GF_12920,108.48
GF_16336,66.39
GF_6949,46.08
GF_6180,78.32
GF_7981,94.02
GF_14015,71.86
GF_18768,237.57
GF_1947,114.13
GF_46,79.76
GF_9196,29.67
GF_6362,31.97
GF_9905,84.97
GF_1269,128.27
GF_23260,114.71
GF_2451,113.27
GF_8466,68.58
GF_10393,172.63
GF_8349,48.4
GF_23354,88.24
GF_1483,57.52
GF_12601,123.93
GF_5857,55.69
GF_12232,57.88
GF_16397,42.5
GF_14836,102.67
GF_7098,47.55
GF_15324,2162.64
GF_14346,157.8
GF_20145,133.37
GF_4797,77.51
GF_2317,1439.19
GF_14317,191.9
GF_6995,118.08
GF_5521,87.39
GF_9029,208.87
GF_11414,146.51
GF_13771,103.06
GF_7412,153.56
GF_9332,85.52
GF_618,139.78
GF_9749,96.91
GF_12921,67.05
GF_11354,43.68
GF_6950,46.08
GF_4998,92.8
GF_7470,126.1
GF_4533,87.46
GF_731,79.87
GF_4894,48.63
GF_180,90.32
GF_24091,158.66
GF_6363,31.97
GF_9906,84.97
GF_3162,64.88
GF_18995,42.96
GF_11581,101.53
GF_13268,206.22
GF_22994,201.85
GF_7389,64.82
GF_4033,1740.94
